지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
119,수원,2022/07/06,44
119,수원,2022/07/07,26
119,수원,2022/07/08,29
119,수원,2022/07/09,29
119,수원,2022/07/10,41
119,수원,2022/07/11,31
119,수원,2022/07/12,18
119,수원,2022/07/13,29
119,수원,2022/07/14,15
119,수원,2022/07/15,27
119,수원,2022/07/16,31
119,수원,2022/07/17,29
119,수원,2022/07/18,26
119,수원,2022/07/19,38
119,수원,2022/07/20,38
119,수원,2022/07/21,21
119,수원,2022/07/22,33
119,수원,2022/07/23,43
119,수원,2022/07/24,25
119,수원,2022/07/25,23
119,수원,2022/07/26,36
119,수원,2022/07/27,37
119,수원,2022/07/28,29
119,수원,2022/07/29,29
119,수원,2022/07/30,17
119,수원,2022/07/31,17
119,수원,2022/08/01,16
119,수원,2022/08/02,17
119,수원,2022/08/03,26
119,수원,2022/08/04,18
119,수원,2022/08/05,22
119,수원,2022/08/06,35
119,수원,2022/08/07,25
119,수원,2022/08/08,24
119,수원,2022/08/09,13
119,수원,2022/08/10,18
119,수원,2022/08/11,19
119,수원,2022/08/12,23
119,수원,2022/08/13,32
119,수원,2022/08/14,23
119,수원,2022/08/15,19
119,수원,2022/08/16,20
119,수원,2022/08/17,25
119,수원,2022/08/18,33
119,수원,2022/08/19,29
119,수원,2022/08/20,24
119,수원,2022/08/21,28
119,수원,2022/08/22,33
119,수원,2022/08/23,21
119,수원,2022/08/24,18
119,수원,2022/08/25,21
119,수원,2022/08/26,35
119,수원,2022/08/27,22
119,수원,2022/08/28,17
119,수원,2022/09/03,15
119,수원,2022/09/04,15
119,수원,2022/09/05,10
119,수원,2022/09/06,16
119,수원,2022/09/07,36
119,수원,2022/09/08,34
119,수원,2022/09/09,28
119,수원,2022/09/10,15
119,수원,2022/09/11,23
119,수원,2022/09/12,27
119,수원,2022/09/13,25
119,수원,2022/09/14,19
119,수원,2022/09/15,20
119,수원,2022/09/16,25
119,수원,2022/09/17,25
119,수원,2022/09/18,25
119,수원,2022/09/19,18
119,수원,2022/09/20,30
119,수원,2022/09/21,37
119,수원,2022/09/22,26
119,수원,2022/09/23,31
119,수원,2022/09/24,21
119,수원,2022/09/25,30
119,수원,2022/09/26,36
119,수원,2022/09/27,38
119,수원,2022/09/28,53
119,수원,2022/09/29,68
