index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens,home_view,home_recommend,home_reply,away_view,away_recommend,away_reply
65,Lotte,KIA,7,5,7.0,9.0,0,6.6,1.2,김상수,김대유,18:30,화,사직,3829,4,2023,0,0.0,17.1,44.0,20230418,6505.0,9429.6,even,0.3817034700315457,1.5,0.4166666666666667,0,0,265113.0,6122.0,1386.0,395437.0,13506.0,2477.0
66,Kiwoom,Samsung,4,6,4.0,7.0,0,6.0,6.8,백정현,장재영,18:30,화,고척,3104,4,2023,0,1.5,14.4,55.0,20230418,11265.0,8362.0,even,0.4800079968012795,2.0,0.5384615384615384,0,0,290202.0,9844.0,1903.0,339861.0,7886.0,1676.0
67,Hanhwa,Doosan,0,2,8.0,4.0,0,4.2,4.6,정철원,김범수,18:30,화,대전,4012,4,2023,0,2.0,14.0,37.0,20230418,9455.0,7764.178082191781,even,0.4235294117647059,2.5,0.3333333333333333,0,0,283978.0,6006.0,1693.0,205951.0,6430.0,1165.0
68,KT,SSG,5,2,8.0,4.0,0,7.4,3.6,엄상백,박종훈,18:30,수,수원,3405,4,2023,0,0.0,17.8,45.0,20230419,3398.0,10293.0,win,0.6753511826149597,1.0,0.5454545454545454,0,0,127534.0,5140.0,1359.0,141384.0,3289.0,597.0
69,LG,NC,7,5,2.0,1.0,0,6.4,4.2,이우찬,김영규,18:30,수,잠실,7090,4,2023,0,0.0,19.5,44.0,20230419,6574.0,16974.8,lose,0.6163914466174568,1.0,0.6,0,0,114224.0,3389.0,637.0,239786.0,13017.0,2004.0
70,Lotte,KIA,0,6,8.0,10.0,0,6.4,1.8,이의리,한현희,18:30,수,사직,4869,4,2023,0,0.0,17.0,38.8,20230419,3829.0,6884.4,win,0.3958904109589041,2.5,0.4615384615384615,0,0,658094.0,20365.0,2822.0,258261.0,8246.0,1430.0
71,Kiwoom,Samsung,5,9,5.0,8.0,0,6.0,8.0,이상민,이영준,18:30,수,고척,3869,4,2023,0,0.0,19.3,44.0,20230419,3104.0,8144.0,lose,0.4636843842852426,1.0,0.5,0,0,283815.0,10309.0,1887.0,567134.0,18079.0,2885.0
72,Hanhwa,Doosan,7,6,9.0,4.0,0,4.2,3.8,강재민,최지강,18:30,수,대전,4212,4,2023,0,0.0,19.7,38.0,20230419,4012.0,7764.178082191781,lose,0.4112786885245901,3.5,0.3076923076923077,0,0,356698.0,10453.0,2147.0,239983.0,10140.0,1299.0
73,KT,SSG,5,8,6.0,3.0,0,6.4,2.2,최민준,W. 벤자민,18:30,목,수원,4472,4,2023,0,0.0,15.2,41.0,20230420,3405.0,8034.0,win,0.6869901245169601,1.0,0.5833333333333334,0,0,48415.0,1804.0,435.0,257959.0,5796.0,1115.0
74,LG,NC,9,4,1.0,1.0,0,6.4,4.6,김윤식,송명기,18:30,목,잠실,9090,4,2023,0,0.0,17.0,15.0,20230420,7090.0,14305.0,win,0.6196246295686533,0.0,0.625,0,0,175169.0,5479.0,1113.0,210248.0,7829.0,1364.0
