,date,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수
81,20230421,두산,KT,10,6,4.0,8.0,0,4.8,6.0,곽빈,배제성,18:30,금,잠실,6896
82,20230421,한화,LG,2,4,9.0,1.0,0,3.4,5.6,A. 플럿코,F. 페냐,18:30,금,대전,6004
83,20230422,KIA,삼성,6,2,10.0,8.0,0,3.8,5.8,양현종,원태인,17:00,토,광주,12990
84,20230422,NC,롯데,6,10,4.0,6.0,0,5.4,3.2,C. 반즈,신민혁,17:00,토,창원,15130
85,20230422,SSG,키움,3,2,4.0,6.0,0,4.0,3.6,K. 맥카티,최원태,17:00,토,문학,16535
86,20230422,두산,KT,5,1,4.0,8.0,0,6.6,6.8,최승용,B. 슐서,17:00,토,잠실,13410
87,20230422,한화,LG,0,3,10.0,1.0,0,2.4,5.8,임찬규,남지민,17:00,토,대전,11152
88,20230423,KIA,삼성,5,3,9.0,8.0,0,5.0,4.4,S. 앤더슨,백정현,14:00,일,광주,10026
89,20230423,NC,롯데,3,5,4.0,5.0,0,4.6,5.0,박세웅,이용준,14:00,일,창원,13286
90,20230423,SSG,키움,9,7,3.0,6.0,0,3.6,3.6,오원석,이승호,14:00,일,문학,15878
91,20230423,두산,KT,1,1,3.0,8.0,0,5.6,4.2,최원준,고영표,14:00,일,잠실,10151
92,20230423,한화,LG,7,6,10.0,1.0,0,2.0,5.4,박상원,정우영,14:00,일,대전,9023
93,20230425,KIA,NC,0,6,9.0,5.0,0,5.0,4.0,E. 페디,이의리,18:30,화,광주,2216
94,20230425,LG,SSG,5,4,1.0,2.0,0,5.8,5.0,고우석,노경은,18:30,화,잠실,7344
95,20230425,키움,KT,1,0,6.0,9.0,0,4.2,3.6,안우진,엄상백,18:30,화,고척,2956
96,20230426,KIA,NC,6,0,9.0,4.0,0,3.8,4.2,A. 메디나,송명기,18:30,수,광주,4798
97,20230426,LG,SSG,3,5,1.0,2.0,0,5.4,5.4,송영진,김윤식,18:30,수,잠실,10419
98,20230426,롯데,한화,8,1,5.0,10.0,0,4.6,3.4,한현희,장민재,18:30,수,사직,7905
99,20230426,삼성,두산,1,0,9.0,4.0,0,3.8,5.4,D. 뷰캐넌,R. 알칸타라,18:30,수,대구,9213
100,20230426,키움,KT,13,2,6.0,9.0,0,3.4,2.6,E. 요키시,W. 벤자민,18:30,수,고척,2489
101,20230427,KIA,NC,5,0,8.0,5.0,0,4.4,3.4,전상현,구창모,18:30,목,광주,6017
102,20230427,LG,SSG,6,3,1.0,2.0,0,4.2,4.8,A. 플럿코,최민준,18:30,목,잠실,13061
103,20230427,롯데,한화,3,0,5.0,10.0,0,6.2,2.2,나균안,김민우,18:30,목,사직,10393
104,20230427,삼성,두산,7,6,8.0,5.0,0,2.2,4.2,이상민,정철원,18:30,목,대구,8473
105,20230427,키움,KT,3,1,6.0,9.0,0,4.8,2.0,A. 후라도,조이현,18:30,목,고척,3024
106,20230428,KT,삼성,9,10,9.0,8.0,0,1.0,3.4,김태훈,,18:30,금,수원,7314
107,20230428,LG,KIA,3,4,1.0,8.0,0,4.6,4.4,양현종,,18:30,금,잠실,22695
108,20230428,SSG,두산,4,1,2.0,6.0,0,4.8,4.4,K. 맥카티,최승용,18:30,금,문학,14909
109,20230428,롯데,키움,5,2,3.0,6.0,0,5.8,5.2,노진혁,최원태,18:30,금,사직,14343
110,20230428,한화,NC,4,6,10.0,6.0,0,2.0,3.0,신민혁,F. 페냐,18:30,금,대전,7242
111,20230429,KT,삼성,2,3,9.0,8.0,0,2.6,4.6,원태인,손동현,17:00,토,수원,12039
112,20230429,LG,KIA,3,6,1.0,8.0,0,4.6,4.0,S. 앤더슨,강효종,17:00,토,잠실,23750
113,20230429,SSG,두산,10,4,2.0,6.0,0,5.0,2.6,오원석,최원준,17:00,토,문학,20180
114,20230429,한화,NC,2,3,10.0,4.0,0,2.4,3.0,이용준,남지민,17:00,토,대전,7813
115,20230430,KT,삼성,0,1,8.0,7.0,0,2.8,4.8,우규민,김재윤,14:00,일,수원,14582
116,20230430,LG,KIA,8,12,1.0,7.0,0,4.0,4.2,정해영,고우석,14:00,일,잠실,23750
117,20230430,SSG,두산,0,2,1.0,7.0,0,5.2,2.4,곽빈,박종훈,14:00,일,문학,21026
118,20230430,롯데,키움,5,3,3.0,7.0,0,6.2,5.2,김상수,김동혁,14:00,일,사직,22990
119,20230430,한화,NC,1,4,9.0,3.0,0,2.8,3.0,E. 페디,문동주,14:00,일,대전,10442
120,20230502,KIA,롯데,4,7,6.0,3.0,0,6.6,5.2,김진욱,A. 메디나,18:30,화,광주,8892
121,20230502,NC,LG,3,5,3.0,1.0,0,2.6,4.6,박명근,김영규,18:30,화,창원,3939
122,20230502,SSG,KT,4,11,1.0,8.0,0,4.4,2.8,W. 벤자민,문승원,18:30,화,문학,6950
123,20230502,두산,한화,3,0,6.0,9.0,0,2.6,1.6,R. 알칸타라,장민재,18:30,화,잠실,9834
124,20230502,삼성,키움,0,4,6.0,7.0,0,4.4,4.4,하영민,김태훈,18:30,화,대구,10624
125,20230503,KIA,롯데,10,2,8.0,3.0,0,6.2,5.6,윤영철,나균안,18:30,수,광주,13815
126,20230503,NC,LG,1,2,4.0,1.0,0,3.2,5.0,A. 플럿코,구창모,18:30,수,창원,4874
127,20230503,SSG,KT,5,3,3.0,9.0,0,4.2,4.6,노경은,손동현,18:30,수,문학,7703
128,20230503,두산,한화,3,8,5.0,10.0,0,3.2,1.4,김민우,최승용,18:30,수,잠실,14271
129,20230503,삼성,키움,1,4,8.0,8.0,0,4.2,5.0,A. 후라도,오승환,18:30,수,대구,13394
130,20230504,SSG,KT,10,2,2.0,9.0,0,4.6,5.0,K. 맥카티,B. 슐서,18:30,목,문학,7529
131,20230504,두산,한화,3,10,7.0,10.0,0,2.6,3.0,F. 페냐,File D.,18:30,목,잠실,10825
132,20230504,삼성,키움,14,1,8.0,7.0,0,3.0,3.2,A. 수아레즈,최원태,18:30,목,대구,12076
133,20230505,키움,SSG,1,3,7.0,1.0,1,2.8,5.8,오원석,정찬헌,14:00,금,고척,16000
134,20230506,키움,SSG,1,2,8.0,1.0,0,2.6,4.4,박종훈,안우진,17:00,토,고척,11063
135,20230507,두산,LG,1,11,8.0,2.0,0,3.0,4.2,C. 켈리,곽빈,14:00,일,잠실,22073
136,20230507,키움,SSG,6,7,8.0,1.0,0,2.2,4.8,백승건,김동혁,14:00,일,고척,7623
137,20230507,한화,KT,6,2,10.0,10.0,0,4.2,3.6,문동주,엄상백,14:00,일,대전,8551
138,20230509,KIA,SSG,3,0,8.0,1.0,0,7.2,5.4,양현종,김광현,18:30,화,광주,8916
139,20230509,KT,NC,4,16,10.0,4.0,0,3.6,3.4,E. 페디,W. 벤자민,18:30,화,수원,2764
140,20230509,LG,키움,5,4,2.0,8.0,0,5.8,2.6,함덕주,양현,18:30,화,잠실,10421
141,20230509,롯데,두산,2,5,3.0,8.0,0,4.4,2.4,R. 알칸타라,D. 스트레일리,18:30,화,사직,11643
142,20230509,한화,삼성,1,9,9.0,8.0,0,5.0,3.8,D. 뷰캐넌,김민우,18:30,화,대전,5014
143,20230510,KIA,SSG,3,5,7.0,1.0,0,7.0,4.4,백승건,S. 앤더슨,18:30,수,광주,8481
144,20230510,KT,NC,7,8,10.0,4.0,0,4.4,5.4,김진호,김재윤,18:30,수,수원,3734
145,20230510,LG,키움,1,11,2.0,8.0,0,6.2,2.6,최원태,정우영,18:30,수,잠실,12125
146,20230510,롯데,두산,3,0,4.0,7.0,0,4.2,3.0,C. 반즈,최원준,18:30,수,사직,11435
147,20230510,한화,삼성,5,1,9.0,7.0,0,5.0,5.0,F. 페냐,원태인,18:30,수,대전,5865
148,20230511,KIA,SSG,3,5,8.0,1.0,0,6.4,3.4,고효준,전상현,18:30,목,광주,8898
149,20230511,KT,NC,1,4,10.0,4.0,0,3.6,6.4,구창모,B. 슐서,18:30,목,수원,3934
150,20230511,LG,키움,1,0,2.0,8.0,0,4.8,4.6,임찬규,정찬헌,18:30,목,잠실,11773
