index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens
37,Lotte,Doosan,3,4,4.0,4.0,0,2.6,4.4,김강률,문경찬,14:00,일,사직,11646,4,2022,0,0.0,18.9,34.0,20220410,13045.0,8773.0,win,0.5,0.0,0.5714285714285714,0,0
38,Samsung,Kiwoom,5,6,7.0,7.0,0,3.6,1.8,김재웅,김윤수,14:00,일,대구,11610,4,2022,0,0.0,19.4,27.0,20220410,13059.0,9367.388888888889,lose,0.5,0.0,0.42857142857142855,0,0
39,Hanhwa,KT,6,4,10.0,9.0,0,3.6,2.6,김종수,O. 데스파이네,14:00,일,대전,5735,4,2022,0,0.0,17.0,28.0,20220410,6538.0,4974.861111111111,win,0.3652830188679245,1.0,0.14285714285714285,0,0
40,KIA,Lotte,6,5,7.0,5.0,0,4.0,2.2,전상현,문경찬,18:30,화,광주,3654,4,2022,0,0.0,20.3,33.0,20220412,2773.0,7185.6,even,0.45012468827930174,1.0,0.375,0,0
41,KT,Doosan,1,3,10.0,3.0,0,2.4,4.2,곽빈,고영표,18:30,화,수원,2450,4,2022,0,0.0,16.6,49.0,20220412,2530.0,6811.4,even,0.3738680465717982,3.0,0.25,0,0
42,LG,SSG,1,4,2.0,1.0,0,4.2,6.0,I. 노바,임찬규,18:30,화,잠실,6028,4,2022,0,0.0,19.8,27.0,20220412,13095.0,12918.930555555557,even,0.8077847188851514,1.0,0.875,0,0
43,Samsung,Hanhwa,2,0,7.0,10.0,0,3.4,4.2,원태인,R. 카펜터,18:30,화,대구,4047,4,2022,0,0.0,22.4,32.0,20220412,11610.0,9367.388888888889,even,0.4836109618484686,1.0,0.375,0,0
44,Kiwoom,NC,10,0,5.0,10.0,0,2.2,3.8,최원태,송명기,18:30,화,고척,774,4,2022,0,0.0,18.0,27.0,20220412,2055.0,4205.8,even,0.15181932245922208,2.0,0.5,0,0
45,LG,SSG,2,4,2.0,1.0,0,4.0,6.2,이태양,김대유,18:30,수,잠실,4547,4,2022,0,7.5,12.1,13.0,20220413,6028.0,12918.930555555557,lose,0.7538461538461538,2.0,0.7777777777777778,0,0
46,Samsung,Hanhwa,12,1,7.0,10.0,0,2.4,3.4,양창섭,김민우,18:30,수,대구,2156,4,2022,0,0.0,11.9,15.0,20220413,4047.0,9367.388888888889,win,0.5158690176322418,2.0,0.4444444444444444,0,0
47,Kiwoom,NC,5,4,4.0,10.0,0,4.0,2.8,하영민,조민석,18:30,수,고척,893,4,2022,0,3.5,12.4,13.0,20220413,774.0,2709.2,win,0.5,3.0,0.5555555555555556,0,0
48,KIA,Lotte,2,3,7.0,7.0,0,3.8,3.2,박세웅,양현종,18:30,목,광주,3838,4,2022,0,0.0,15.3,15.0,20220414,3654.0,4534.8,win,0.29897810218978105,0.0,0.4444444444444444,0,0
49,KT,Doosan,4,5,10.0,4.0,0,2.6,4.6,김강률,하준호,18:30,목,수원,2241,4,2022,0,0.0,9.7,16.0,20220414,2450.0,3890.0,lose,0.31300987548303993,4.0,0.2222222222222222,0,0
50,LG,SSG,5,1,2.0,1.0,0,3.2,6.2,A. 플럿코,W. 폰트,18:30,목,잠실,6500,4,2022,0,0.0,12.2,14.0,20220414,4547.0,9724.2,lose,0.711764705882353,3.0,0.7,0,0
51,Samsung,Hanhwa,8,3,5.0,10.0,0,3.8,3.2,D. 뷰캐넌,김범수,18:30,목,대구,2869,4,2022,0,0.0,10.6,11.0,20220414,2156.0,8023.2,win,0.654054054054054,3.0,0.5,0,0
52,Kiwoom,NC,1,0,4.0,10.0,0,5.0,3.4,안우진,D. 루친스키,18:30,목,고척,1020,4,2022,0,0.0,12.5,14.0,20220414,893.0,1664.8,win,0.514081713605712,4.0,0.6,0,0
53,NC,KIA,5,0,10.0,7.0,0,2.6,3.0,W. 파슨스,S. 놀린,18:30,금,창원,3002,4,2022,0,0.0,13.1,28.0,20220415,3017.0,4377.0,even,0.22145328719723184,2.5,0.18181818181818182,0,0
