,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match
77,Hanhwa,Doosan,1,5,8.0,3.0,0,4.6,4.6,R. 알칸타라,김민우,18:30,목,대전,4122,04,2023,0,0.0,19.7,24.0,20230420,4212.0,7865.2,win
78,KIA,Samsung,5,4,10.0,8.0,0,3.0,6.0,김기훈,이승현,18:30,금,광주,6870,04,2023,0,0.0,17.4,37.0,20230421,5457.0,8966.8,even
79,NC,Lotte,2,3,2.0,8.0,0,5.2,4.4,김원중,김영규,18:30,금,창원,12613,04,2023,0,0.0,18.8,72.4,20230421,3174.0,5028.0,even
80,SSG,Kiwoom,3,1,4.0,5.0,0,3.4,4.6,김광현,A. 후라도,18:30,금,문학,12374,04,2023,0,0.0,16.4,64.0,20230421,13460.0,12888.6,even
81,Doosan,KT,10,6,4.0,8.0,0,4.8,6.0,곽빈,배제성,18:30,금,잠실,6896,04,2023,0,0.0,17.6,64.0,20230421,6917.0,4221.8,even
82,Hanhwa,LG,2,4,9.0,1.0,0,3.4,5.6,A. 플럿코,F. 페냐,18:30,금,대전,6004,04,2023,0,0.0,17.1,42.0,20230421,4122.0,6606.6,even
83,KIA,Samsung,6,2,10.0,8.0,0,3.8,5.8,양현종,원태인,17:00,토,광주,12990,04,2023,0,0.0,16.1,141.0,20230422,6870.0,7054.4,win
84,NC,Lotte,6,10,4.0,6.0,0,5.4,3.2,C. 반즈,신민혁,17:00,토,창원,15130,04,2023,0,0.0,14.9,230.0,20230422,12613.0,5598.0,lose
85,SSG,Kiwoom,3,2,4.0,6.0,0,4.0,3.6,K. 맥카티,최원태,17:00,토,문학,16535,04,2023,0,0.0,16.9,62.0,20230422,12374.0,10763.4,win
86,Doosan,KT,5,1,4.0,8.0,0,6.6,6.8,최승용,B. 슐서,17:00,토,잠실,13410,04,2023,0,0.0,17.8,62.0,20230422,6896.0,4816.2,win
87,Hanhwa,LG,0,3,10.0,1.0,0,2.4,5.8,임찬규,남지민,17:00,토,대전,11152,04,2023,0,0.0,15.8,171.0,20230422,6004.0,5561.0,lose
88,KIA,Samsung,5,3,9.0,8.0,0,5.0,4.4,S. 앤더슨,백정현,14:00,일,광주,10026,04,2023,0,0.0,14.4,85.0,20230423,12990.0,6838.4,win
89,NC,Lotte,3,5,4.0,5.0,0,4.6,5.0,박세웅,이용준,14:00,일,창원,13286,04,2023,0,0.0,14.1,53.0,20230423,15130.0,7086.8,lose
90,SSG,Kiwoom,9,7,3.0,6.0,0,3.6,3.6,오원석,이승호,14:00,일,문학,15878,04,2023,0,0.0,15.9,59.0,20230423,16535.0,12908.6,win
91,Doosan,KT,1,1,3.0,8.0,0,5.6,4.2,최원준,고영표,14:00,일,잠실,10151,04,2023,0,0.0,16.9,59.0,20230423,13410.0,7063.8,win
92,Hanhwa,LG,7,6,10.0,1.0,0,2.0,5.4,박상원,정우영,14:00,일,대전,9023,04,2023,0,0.0,14.8,86.0,20230423,11152.0,5900.4,lose
93,KIA,NC,0,6,9.0,5.0,0,5.0,4.0,E. 페디,이의리,18:30,화,광주,2216,04,2023,0,1.5,10.6,15.0,20230425,10026.0,8119.0,even
94,LG,SSG,5,4,1.0,2.0,0,5.8,5.0,고우석,노경은,18:30,화,잠실,7344,04,2023,0,0.0,11.4,31.0,20230425,9090.0,12817.4,even
95,Kiwoom,KT,1,0,6.0,9.0,0,4.2,3.6,안우진,엄상백,18:30,화,고척,2956,04,2023,0,0.0,11.5,31.0,20230425,3918.0,7181.6,even
96,KIA,NC,6,0,9.0,4.0,0,3.8,4.2,A. 메디나,송명기,18:30,수,광주,4798,04,2023,0,0.0,9.1,34.0,20230426,2216.0,7511.8,lose
